Variable,Description,Category,Important_level,Use,Condition,Add_on,Type,sample_Value
actualdpd_943P,Days Past Due (DPD) of previous contract (actual).,P,0,False,,max_actualdpd_943P,float64,"['min:0.0, max:3676.0, mean:0.010562997850956775']"
actualdpdtolerance_344P,DPD of client with tolerance.,P,0,True,,,float64,"['min:0.0, max:4206.0, mean:0.12299394633915448']"
addres_district_368M,District of the person's address.,M,0,False,,,object,"['a55475b1', 'P55_110_32', 'P55_110_32']"
addres_role_871L,Role of person's address.,L,0,False,,,object,"[None, 'CONTACT', 'PERMANENT']"
addres_zip_823M,Zip code of the address.,M,0,False,,,object,"['a55475b1', 'P10_68_40', 'P10_68_40']"
amount_1115A,Credit amount of the active contract provided by the credit bureau.,A,0,False,,,float64,"['min:0.2, max:54833332.0, mean:214110.4891721595']"
amount_416A,Deposit amount.,A,0,False,,max_amount_416A,float64,"['min:-40000.0, max:12213286.0, mean:8422.304481993826']"
amount_4527230A,Tax deductions amount tracked by the government registry.,A,0,False,,max_amount_4527230A,float64,"['min:0.0, max:87115.6, mean:2360.421375819257']"
amount_4917619A,Tax deductions amount tracked by the government registry.,A,0,False,,max_amount_4917619A,float64,"['min:0.0, max:344250.0, mean:20104.9657237729']"
amtdebitincoming_4809443A,Incoming debit card transactions amount.,A,0,False,,max_amtdebitincoming_4809443A,float64,"['min:0.0, max:4957852.0, mean:7552.901685678104']"
amtdebitoutgoing_4809440A,Outgoing debit card transactions amount.,A,0,False,,,float64,"['min:0.0, max:5168004.5, mean:7462.384277757748']"
amtdepositbalance_4809441A,Deposit balance of client.,A,0,False,,max_amtdepositbalance_4809441A,float64,"['min:-335718.0, max:4256314.5, mean:9967.412999351387']"
amtdepositincoming_4809444A,Amount of incoming deposits to client's account.,A,0,False,,,float64,"['min:0.0, max:4180150.5, mean:2949.3958999324345']"
amtdepositoutgoing_4809442A,Amount of outgoing deposits from client's account.,A,0,False,,max_amtdepositoutgoing_4809442A,float64,"['min:0.0, max:4622917.5, mean:3586.8751183165705']"
amtinstpaidbefduel24m_4187115A,Number of instalments paid before due date in the last 24 months.,A,5,True,,,float64,"['min:0.0, max:1408010.2, mean:63708.11959408535']"
annualeffectiverate_199L,Interest rate of the closed contracts.,L,0,False,,max_annualeffectiverate_199L,float64,"['min:0.0, max:91250.0, mean:704.3338133741097']"
annualeffectiverate_63L,Interest rate for the active contracts.,L,0,False,,max_annualeffectiverate_63L,float64,"['min:0.0, max:91250.0, mean:107.00044020770363']"
annuity_780A,Monthly annuity amount.,A,0,False,,,float64,"['min:80.8, max:91601.4, mean:4353.270559054478']"
annuity_853A,Monthly annuity for previous applications.,A,0,False,,max_annuity_853A,float64,"['min:0.0, max:105130.2, mean:3413.1664655844197']"
annuitynextmonth_57A,Next month's amount of annuity.,A,2,True,,,float64,"['min:0.0, max:87500.0, mean:1603.309984311527']"
applicationcnt_361L,Number of applications associated with the same email address as the client.,L,0,True,,,float64,"['min:0.0, max:3.0, mean:1.1474425418147186e-05']"
applications30d_658L,Number of applications made by the client in the last 30 days.,L,2,True,,,float64,"['min:0.0, max:28.0, mean:0.16112579412585915']"
applicationscnt_1086L,Number of applications associated with the same phone number.,L,0,True,,,float64,"['min:0.0, max:728.0, mean:0.4331652967477654']"
applicationscnt_464L,Number of applications made in the last 30 days by other clients with the same employer as the applicant.,L,0,True,,,float64,"['min:0.0, max:246.0, mean:0.7562774669058447']"
applicationscnt_629L,Number of applications with the same employer in the last 7 days.,L,0,False,,,float64,"['min:0.0, max:90.0, mean:0.1771804276900834']"
applicationscnt_867L,Number of applications associated with the same mobile phone.,L,4,True,,,float64,"['min:0.0, max:287.0, mean:3.520504798222229']"
approvaldate_319D,Approval Date of Previous Application,D,0,False,,max_approvaldate_319D,object,"[None, None, None]"
assignmentdate_238D,Tax authority data - date of assignment.,D,0,True,,,object,"[None, None, None]"
assignmentdate_4527235D,Tax authority data - Date of assignment.,D,0,True,,,object,"[None, None, None]"
assignmentdate_4955616D,Tax authority assignment date.,D,0,True,,,object,"[None, None, None]"
avgdbddpdlast24m_3658932P,Average days past or before due of payment during the last 24 months.,P,0,False,,,float64,"['min:-1220.0, max:4750.0, mean:30.9299141532497']"
avgdbddpdlast3m_4187120P,Average days past or before due of payment during the last 3 months.,P,5,True,,,float64,"['min:-519.0, max:4750.0, mean:28.830779546206713']"
avgdbdtollast24m_4525197P,Average days of payment before due date within the last 24 months (with tolerance).,P,0,False,,,float64,"['min:-1220.0, max:4750.0, mean:29.973067301965454']"
avgdpdtolclosure24_3658938P,"Average DPD (days past due) with tolerance within the past 24 months from the maximum closure date, assuming that the contract is finished. If the contract is ongoing, the calculation is based on the current date.",P,16,True,,,float64,"['min:0.0, max:4750.0, mean:48.05180532936449']"
avginstallast24m_3658937A,Average instalments paid by the client over the past 24 months.,A,3,True,,,float64,"['min:0.2, max:496148.8, mean:5890.370765258021']"
avglnamtstart24m_4525187A,Average loan amount in the last 24 months.,A,2,True,,,float64,"['min:0.0, max:513520.0, mean:45484.28211476127']"
avgmaxdpdlast9m_3716943P,Average Days Past Due (DPD) of the client in last 9 months.,P,9,True,,,float64,"['min:0.0, max:240.0, mean:0.787708623025794']"
avgoutstandbalancel6m_4187114A,Average outstanding balance of applicant for the last 6 months.,A,5,True,,,float64,"['min:-2000000.0, max:1080852.9, mean:48024.43097420272']"
avgpmtlast12m_4525200A,Average of payments made by the client in the last 12 months.,A,2,True,,,float64,"['min:0.0, max:495910.4, mean:6707.100049405718']"
bankacctype_710L,Type of applicant's bank account.,L,0,False,,,object,"[None, None, None]"
birth_259D,Date of birth of the person.,D,0,False,,max_birth_259D,object,"['1986-07-01', None, None]"
birthdate_574D,Client's date of birth (credit bureau data).,D,5,True,,,object,"['1988-04-01', '1973-11-01', '1989-04-01']"
birthdate_87D,Birth date of the person.,D,0,False,,max_birthdate_87D,object,"[None, None, None]"
byoccupationinc_3656910L,Applicant's income from previous applications.,L,0,False,,max_byoccupationinc_3656910L,float64,"['min:0.0, max:200000.0, mean:19796.484030443906']"
cacccardblochreas_147M,Card blocking reason.,M,0,False,,,object,"[None, None, None]"
cancelreason_3545846M,Application cancellation reason.,M,0,False,,,object,"['a55475b1', 'a55475b1', 'P94_109_143']"
cardtype_51L,Type of credit card.,L,0,False,,,object,"[None, None, None]"
childnum_185L,Number of children of the applicant.,L,0,False,,max_childnum_185L,float64,"['min:0.0, max:11.0, mean:0.616029070354295']"
childnum_21L,Number of children in the previous application.,L,0,False,,max_childnum_21L,float64,"['min:0.0, max:20.0, mean:0.8434701578402216']"
classificationofcontr_1114M,Classificiation of the active contract.,M,0,False,,,object,"['ea6782cc', 'ea6782cc', 'ea6782cc']"
classificationofcontr_13M,Classificiation of the active contract.,M,0,False,,,object,"['ea6782cc', 'ea6782cc', 'a55475b1']"
classificationofcontr_400M,Classificiation of the closed contract.,M,0,False,,,object,"['a55475b1', 'a55475b1', 'a55475b1']"
clientscnt_100L,Number of applications with matching employer's phone and client's.,L,0,True,,,float64,"['min:0.0, max:109.0, mean:0.04012797809149707']"
clientscnt_1022L,Number of clients sharing the same mobile phone.,L,0,True,,,float64,"['min:0.0, max:266.0, mean:0.12793984341234113']"
clientscnt_1071L,Number of applications where the alternative phone number matches that of the client.,L,0,True,,,float64,"['min:0.0, max:24.0, mean:0.027720299406007246']"
clientscnt_1130L,Number of applications where client's phone number matches the alternative phone contact.,L,0,True,,,float64,"['min:0.0, max:35.0, mean:0.025480874045232187']"
clientscnt_136L,Number of applications associated with same email address as client's email.,L,0,True,,,float64,"['min:0.0, max:2.0, mean:0.15']"
clientscnt_157L,Number of clients whose employer has the same phone number as the client.,L,0,True,,,float64,"['min:0.0, max:390.0, mean:0.05976836959889233']"
clientscnt_257L,Number of clients that share an alternative phone number with the applicant.,L,0,True,,,float64,"['min:0.0, max:12.0, mean:0.0025760085063740432']"
clientscnt_304L,Number of clients with the same phone number.,L,0,True,,,float64,"['min:0.0, max:510.0, mean:0.0744575465383571']"
clientscnt_360L,Number of clients that have the same alternative phone number and employer's phone number.,L,0,True,,,float64,"['min:0.0, max:15.0, mean:0.002172491212502534']"
clientscnt_493L,Number of clients with matching phone numbers for both the employer and the client.,L,0,True,,,float64,"['min:0.0, max:922.0, mean:0.02300431055914875']"
clientscnt_533L,Number of clients with same client's and alternative's phone number,L,0,True,,,float64,"['min:0.0, max:12.0, mean:0.07534298969979078']"
clientscnt_887L,Number of clients sharing the same employer's phone number.,L,0,True,,,float64,"['min:0.0, max:1242.0, mean:1.7593028904077628']"
clientscnt_946L,Number of clients with matching mobile and employer's number.,L,0,True,,,float64,"['min:0.0, max:72.0, mean:0.04151638356709288']"
clientscnt12m_3712952L,Number of clients that have used the same mobile phone as the applicant in the past 12 months.,L,0,False,,,float64,"['min:0.0, max:198.0, mean:0.04588240243869788']"
clientscnt3m_3712950L,Number of clients who have the same mobile phone number in the last 3 months.,L,0,False,,,float64,"['min:0.0, max:112.0, mean:0.02347093719282007']"
clientscnt6m_3712949L,Total number of clients who have used the same mobile number in the last 6 months.,L,0,False,,,float64,"['min:0.0, max:175.0, mean:0.03357416877349867']"
cntincpaycont9m_3716944L,Number of incoming payments in the past 9 months.,L,2,True,,,float64,"['min:0.0, max:575.0, mean:6.449366195557084']"
cntpmts24_3658933L,Number of months with any incoming payment in last 24 months.,L,5,True,,,float64,"['min:0.0, max:25.0, mean:11.278125665383145']"
collater_typofvalofguarant_298M,Collateral valuation type (active contract).,M,0,False,,,object,"['9a0c095e', '8fd95e4b', 'a55475b1']"
collater_typofvalofguarant_407M,Collateral valuation type (closed contract).,M,0,False,,,object,"['9a0c095e', '8fd95e4b', '8fd95e4b']"
collater_valueofguarantee_1124L,Value of collateral for active contract.,L,0,False,,,float64,"['min:0.0, max:3200000000.0, mean:1917304.4333689506']"
collater_valueofguarantee_876L,Value of collateral for closed contract.,L,0,False,,,float64,"['min:0.0, max:6804986362.0, mean:1960659.1956176131']"
collaterals_typeofguarante_359M,Type of collateral that was used as a guarantee for a closed contract.,M,0,False,,,object,"['c7a5ad39', '3cbe86ba', 'c7a5ad39']"
collaterals_typeofguarante_669M,Collateral type for the active contract.,M,0,False,,,object,"['c7a5ad39', 'c7a5ad39', 'a55475b1']"
commnoinclast6m_3546845L,Number of communications indicating low income in the last six months.,L,0,True,,,float64,"['min:0.0, max:0.0, mean:0.0']"
contaddr_district_15M,Zip code of a contact person's address.,M,0,False,,,object,"['P88_18_84', 'a55475b1', 'a55475b1']"
contaddr_matchlist_1032L,Indicates whether the contact address is found in a code list.,L,0,False,,,object,"[False, None, None]"
contaddr_smempladdr_334L,Indicates whether the contact address is the same as the employment address.,L,0,False,,,object,"[False, None, None]"
contaddr_zipcode_807M,Zip code of contact address.,M,0,False,,,object,"['P167_100_165', 'a55475b1', 'a55475b1']"
contractdate_551D,Contract date of the active contract,D,0,False,,max_contractdate_551D,object,"['2016-10-25', '2011-06-15', '2019-01-04']"
contractenddate_991D,End date of deposit contract.,D,0,False,,max_contractenddate_991D,object,"[None, '2018-03-18', None]"
contractmaturitydate_151D,End date of active contract.,D,0,False,,max_contractmaturitydate_151D,object,"['2019-10-25', '2031-06-13', '2021-08-04']"
contractssum_5085716L,Total sum of values of contracts retrieved from external credit bureau.,L,1,True,,,float64,"['min:0.0, max:31296759.11, mean:641604.4176509734']"
contractst_516M,Contract status.,M,0,False,,,object,"['7241344e', '7241344e', '7241344e']"
contractst_545M,Contract status.,M,0,False,,,object,"['7241344e', '7241344e', 'a55475b1']"
contractst_964M,Contract status of terminated credit contract.,M,0,False,,,object,"['a55475b1', 'a55475b1', 'a55475b1']"
contractsum_5085717L,Sum of other contract values.,L,0,False,,,float64,"['min:nan, max:nan, mean:nan']"
contracttype_653M,Contract Type,M,0,False,,,object,"['4257cbed', '724be82a', '724be82a']"
conts_role_79M,Type of contact role of a person.,M,0,False,,,object,"['a55475b1', 'P38_92_157', 'a55475b1']"
conts_type_509L,Person contact type in previous application.,L,0,False,,,object,"['PRIMARY_MOBILE', 'EMPLOYMENT_PHONE', 'PRIMARY_MOBILE']"
creationdate_885D,Date when previous application was created.,D,0,False,,max_creationdate_885D,object,"['2013-04-03', '2013-04-03', '2019-01-07']"
credacc_actualbalance_314A,Actual balance on credit account.,A,0,False,,max_credacc_actualbalance_314A,float64,"['min:-114086.0, max:2540730.0, mean:20269.580297170447']"
credacc_cards_status_52L,Card status of the previous credit account.,L,0,False,,,object,"[None, None, None]"
credacc_credlmt_575A,Credit card credit limit provided for previous applications.,A,0,False,,max_credacc_credlmt_575A,float64,"['min:0.0, max:400000.0, mean:3254.6765972833323']"
credacc_maxhisbal_375A,Maximal historical balance of previous credit account,A,0,False,,max_credacc_maxhisbal_375A,float64,"['min:-196108.17, max:7988198.5, mean:-3288.8872461659003']"
credacc_minhisbal_90A,Minimum historical balance of previous credit accounts.,A,0,False,,max_credacc_minhisbal_90A,float64,"['min:-206808.17, max:199567.0, mean:-6554.784203193061']"
credacc_status_367L,Account status of previous credit applications.,L,0,False,,,object,"[None, None, None]"
credacc_transactions_402L,Number of transactions made with the previous credit account of the applicant.,L,0,False,,max_credacc_transactions_402L,float64,"['min:0.0, max:155.0, mean:0.522125367170498']"
credamount_590A,Loan amount or card limit of previous applications.,A,0,False,,max_credamount_590A,float64,"['min:0.0, max:715392.0, mean:38657.85509124097']"
credamount_770A,Loan amount or credit card limit.,A,7,True,,,float64,"['min:2000.0, max:950000.0, mean:53669.215690536264']"
credlmt_1052A,Credit limit of an active loan.,A,0,False,,max_credlmt_1052A,float64,"['min:0.0, max:796800000.0, mean:178935.6497832783']"
credlmt_228A,Credit limit for closed loans.,A,0,False,,max_credlmt_228A,float64,"['min:0.0, max:4420000.0, mean:52317.522928350954']"
credlmt_230A,Credit limit of the closed credit contracts from credit bureau.,A,0,False,,max_credlmt_230A,float64,"['min:0.0, max:139000000.0, mean:32864.08705532161']"
credlmt_3940954A,Credit limit for active loan.,A,0,False,,,float64,"['min:0.0, max:300000000.0, mean:130360.34354514371']"
credlmt_935A,Credit limit for active loan.,A,0,False,,max_credlmt_935A,float64,"['min:0.0, max:1848000100.0, mean:107324.32633153243']"
credor_3940957M,Creditor's name,M,0,False,,,object,"['c5a72b57', 'P164_34_168', 'P164_34_168']"
credquantity_1099L,Number of credits in credit bureau,L,0,False,,,float64,"['min:1.0, max:16.0, mean:1.5447395224263458']"
credquantity_984L,Number of closed credits in credit bureau.,L,0,False,,max_credquantity_984L,float64,"['min:1.0, max:146.0, mean:4.565220212858008']"
credtype_322L,Type of credit.,L,0,False,,,object,"['CAL', 'CAL', 'CAL']"
credtype_587L,Credit type of previous application.,L,0,False,,,object,"['CAL', 'CAL', 'CAL']"
currdebt_22A,Current debt amount of the client.,A,5,True,,,float64,"['min:0.0, max:1029392.8, mean:22559.741283826286']"
currdebt_94A,Previous application's current debt.,A,0,False,,max_currdebt_94A,float64,"['min:0.0, max:507429.72, mean:5229.1007491285445']"
currdebtcredtyperange_828A,Current amount of debt of the applicant.,A,3,True,,,float64,"['min:0.0, max:1029392.8, mean:12277.847537851']"
dateactivated_425D,Contract activation date of the applicant's previous application.,D,0,False,,max_dateactivated_425D,object,"[None, None, None]"
datefirstoffer_1144D,Date of first customer relationship management (CRM) offer.,D,7,True,,,object,"[None, None, None]"
datelastinstal40dpd_247D,Date of last instalment that was more than 40 days past due (DPD).,D,8,True,,,object,"[None, None, None]"
datelastunpaid_3546854D,Date of the last unpaid instalment.,D,5,True,,,object,"[None, None, None]"
dateofbirth_337D,Client's date of birth.,D,8,True,,,object,"[None, None, '1989-04-01']"
dateofbirth_342D,Client's date of birth.,D,0,True,,,object,"[None, None, None]"
dateofcredend_289D,End date of an active credit contract.,D,0,False,,max_dateofcredend_289D,object,"['2020-09-29', '2020-04-14', None]"
dateofcredend_353D,End date of a closed credit contract.,D,0,False,,max_dateofcredend_353D,object,"[None, None, None]"
dateofcredstart_181D,Date when the credit contract was closed.,D,0,False,,max_dateofcredstart_181D,object,"[None, None, None]"
dateofcredstart_739D,Start date of a closed credit contract.,D,0,False,,max_dateofcredstart_739D,object,"['2014-09-29', '2016-04-14', None]"
dateofrealrepmt_138D,Date of credit's closure (contract termination date).,D,0,False,,max_dateofrealrepmt_138D,object,"[None, None, None]"
days120_123L,Number of credit bureau queries for the last 120 days.,L,0,False,,,float64,"['min:0.0, max:109.0, mean:1.6077148512908']"
days180_256L,Number of credit bureau queries for last 180 days.,L,9,True,,,float64,"['min:0.0, max:110.0, mean:2.388655912465333']"
days30_165L,Number of credit bureau queries for the last 30 days.,L,5,True,,,float64,"['min:0.0, max:22.0, mean:0.517707771790392']"
days360_512L,Number of Credit Bureau queries for last 360 days.,L,7,True,,,float64,"['min:0.0, max:115.0, mean:4.777066459982781']"
days90_310L,Number of credit bureau queries for the last 90 days.,L,0,False,,,float64,"['min:0.0, max:41.0, mean:1.2114201506685112']"
daysoverduetolerancedd_3976961L,Number of days that past after the due date (with tolerance).,L,12,True,,,float64,"['min:0.0, max:5337.0, mean:111.65281646152901']"
debtoutstand_525A,Outstanding amount of existing contract.,A,0,False,,max_debtoutstand_525A,float64,"['min:0.0, max:147769090.0, mean:192449.53045379207']"
debtoverdue_47A,Amount that is currently past due on a client's existing credit contract.,A,0,False,,max_debtoverdue_47A,float64,"['min:0.0, max:70695176.0, mean:1984.232654840353']"
debtpastduevalue_732A,Amount of unpaid debt for existing contracts.,A,0,False,,max_debtpastduevalue_732A,float64,"['min:0.0, max:41138710.0, mean:3791.878350753879']"
debtvalue_227A,Outstanding amount for existing debt contracts.,A,0,False,,max_debtvalue_227A,float64,"['min:0.0, max:41619050.0, mean:165118.33061958785']"
deductiondate_4917603D,Tax deduction date.,D,0,False,,max_deductiondate_4917603D,object,"['2019-10-16', '2019-10-16', '2019-10-16']"
deferredmnthsnum_166L,Number of deferred months.,L,0,False,,,float64,"['min:0.0, max:0.0, mean:0.0']"
description_351M,Categorization of clients by credit bureau.,M,0,False,,,object,"['a55475b1', 'a55475b1', 'a55475b1']"
description_5085714M,Categorization of clients by credit bureau.,M,0,False,,,object,"['a55475b1', 'a55475b1', 'a55475b1']"
disbursedcredamount_1113A,Disbursed credit amount after consolidation.,A,9,True,,,float64,"['min:0.0, max:950000.0, mean:49721.60742675128']"
disbursementtype_67L,Type of disbursement.,L,0,False,,,object,"['GBA', 'GBA', 'GBA']"
district_544M,District of the address used in the previous loan application.,M,0,False,,,object,"['P136_108_173', 'P136_108_173', 'P131_33_167']"
downpmt_116A,Amount of downpayment.,A,0,True,,,float64,"['min:0.0, max:380000.0, mean:597.2261464285361']"
downpmt_134A,Previous application downpayment amount.,A,0,False,,max_downpmt_134A,float64,"['min:0.0, max:320400.0, mean:457.8898881613044']"
dpd_550P,The number of days past due for active loans where a guarantee has been provided.,P,0,False,,max_dpd_550P,float64,"['min:0.0, max:207823776.0, mean:25696.752499151233']"
dpd_733P,Days past due (DPD) for guaranteed loans that were terminated according to credit bureau data.,P,0,False,,,float64,"['min:0.0, max:15443942.0, mean:372.2601021026218']"
dpdmax_139P,Maximal days past due for active contract.,P,0,False,,max_dpdmax_139P,float64,"['min:0.0, max:4871.0, mean:12.953689308217076']"
dpdmax_757P,Maximum days past due for a closed contract.,P,0,False,,max_dpdmax_757P,float64,"['min:-12.0, max:657458.0, mean:46.08307600386511']"
dpdmax_851P,Maximal past due days for active contracts in the credit bureau.,P,0,False,,max_dpdmax_851P,float64,"['min:0.0, max:185124192.0, mean:35378.96083669851']"
dpdmaxdatemonth_442T,Max DPD occurrence month for terminated contracts from credit bureau data.,T,0,False,,max_dpdmaxdatemonth_442T,float64,"['min:1.0, max:12.0, mean:6.540715493247794']"
dpdmaxdatemonth_804T,Month when the maximum Day Past Due (DPD) occurred for active contracts on credit bureau's records.,T,0,False,,max_dpdmaxdatemonth_804T,float64,"['min:1.0, max:12.0, mean:6.6102629764601595']"
dpdmaxdatemonth_89T,Month when maximum days past due occurred on the active contract with the credit bureau.,T,0,False,,max_dpdmaxdatemonth_89T,float64,"['min:1.0, max:12.0, mean:6.997161045517048']"
dpdmaxdateyear_596T,Year when maximum Days Past Due (DPD) occurred for the active contract.,T,0,False,,max_dpdmaxdateyear_596T,float64,"['min:2009.0, max:2020.0, mean:2018.3660681763665']"
dpdmaxdateyear_742T,Year of the maximum Days Past Due (DPD) on an active credit contract in the credit bureau.,T,0,False,,max_dpdmaxdateyear_742T,float64,"['min:1900.0, max:2020.0, mean:2018.2262262385502']"
